PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP CODE,PRICE,BEDS,BATHS,SQ. FT,YEAR BUILT
Single Family Residential,2409 158th Street Ct E,Tacoma,WA,98445,614900,3,2.5,2197,2023
Single Family Residential,4231 N 37th St,Tacoma,WA,98407,674950,4,2,1748,1954
Single Family Residential,2309 158th Street Ct E,Tacoma,WA,98445,604900,3,2.5,2197,2023
Single Family Residential,2323 158th Street Ct E,Tacoma,WA,98445,604900,3,2.5,2197,2023
Single Family Residential,2322 158th Street Ct E,Tacoma,WA,98445,579900,3,2.5,1623,2023
Single Family Residential,2408 158th Street Ct E,Tacoma,WA,98445,579900,3,2.5,1623,2023
Single Family Residential,2317 158th Street Ct E,Tacoma,WA,98445,574900,3,2.5,1623,2023
Single Family Residential,2412 158th Street Ct E,Tacoma,WA,98445,559900,3,2,1487,2023
Single Family Residential,1620 S Sheridan Ave,Tacoma,WA,98405,495000,4,2,2315,1906
Single Family Residential,615 S 91st St,Tacoma,WA,98444,320000,3,1,1253,1954
Single Family Residential,2211 158th Street Ct E,Tacoma,WA,98445,532900,3,2,1157,2023
Single Family Residential,2310 158th Street Ct E,Tacoma,WA,98445,529900,3,2,1157,2023
Condo/Co-op,15423 9th Ave E,Tacoma,WA,98445,365999,3,2.5,1264,1996
Single Family Residential,5507 Waller Rd E,Tacoma,WA,98443,1670000,4,3.5,3316,2003
Single Family Residential,6429 S Lawrence St,Tacoma,WA,98409,615000,3,2.5,2242,2021
Single Family Residential,5301 S Steele St,Tacoma,WA,98409,297000,1,1,400,1930
Single Family Residential,1301 128th St E,Tacoma,WA,98445,488000,3,2,2506,1950
Single Family Residential,5228 S State St,Tacoma,WA,98409,519950,5,3,2112,1929
Single Family Residential,3615 E Howe St,Tacoma,WA,98404,399950,3,2,1148,1943
Single Family Residential,2605 159th Street Ct E,Tacoma,WA,98445,539000,3,2,1326,1993
Single Family Residential,3345 N Mullen St,Tacoma,WA,98407,450000,3,1,1332,1946
Condo/Co-op,1101 A St #801,Tacoma,WA,98402,650000,2,2,1163,1919
Single Family Residential,1102 E 56th St,Tacoma,WA,98404,450000,3,2,2012,1941
Single Family Residential,4053 E C St,Tacoma,WA,98404,350000,2,1.5,1396,1954
Single Family Residential,4706 N Mullen St,Tacoma,WA,98407,584900,3,1,1848,1920
Single Family Residential,5322 S Alder St,Tacoma,WA,98409,470000,3,2,1873,1906
Single Family Residential,6054 S Wapato Lake Dr,Tacoma,WA,98408,515000,3,2,1910,1961
Single Family Residential,208 E 62nd St,Tacoma,WA,98404,700000,4,3,3061,1976
Single Family Residential,7011 S Warner St,Tacoma,WA,98409,339000,2,1,696,1918
Single Family Residential,702 140th St S,Tacoma,WA,98244,359000,3,1,1047,1965
Single Family Residential,6826 S Lawrence St,Tacoma,WA,98409,469999,4,2,1845,1918
Single Family Residential,8801 E E St,Tacoma,WA,98445,449900,4,2,1586,1989
Single Family Residential,2035 E 37th St,Tacoma,WA,98404,380000,4,1.5,1416,1971
Single Family Residential,5424 N 40th St,Tacoma,WA,98407,599900,3,2,1704,1961
Condo/Co-op,4961 Main St #314,Tacoma,WA,98407,529999,2,2,782,2018
Condo/Co-op,1 N Stadium Way #3,Tacoma,WA,98403,850000,3,2,2500,1975
Single Family Residential,2853 180th Street Ct E,Tacoma,WA,98445,559950,3,2.5,1767,2023
Condo/Co-op,1902 Yakima Ave #5,Tacoma,WA,98405,235000,1,1,541,1962
Single Family Residential,2040 S 15th St,Tacoma,WA,98405,434990,4,2,1727,1954
Single Family Residential,4849 S Sheridan Ave,Tacoma,WA,98408,380000,2,1.5,1350,1946
Multi-Family (2-4 Unit),15909 15911 18th Avenue Ct E,Tacoma,WA,98445,599950,4,3,2288,1981
Single Family Residential,420 121st St E,Tacoma,WA,98445,850000,3,2.5,2168,2014
Single Family Residential,6012 A St,Tacoma,WA,98408,522500,4,2.5,2687,1950
Single Family Residential,501 119th St S,Tacoma,WA,98444,415999,3,1.5,2680,1949
Single Family Residential,3832 E Howe St,Tacoma,WA,98404,330000,2,1,940,1925
Single Family Residential,4521 S M St,Tacoma,WA,98418,450000,4,2,2153,1922
Single Family Residential,407 S 49th St,Tacoma,WA,98408,474999,4,1,1319,1926
Townhouse,2520 Jefferson Ave Unit M,Tacoma,WA,98402,395000,1,1.5,1023,2006
Condo/Co-op,3016 N Narrows Dr #413,Tacoma,WA,98407,994999,2,2,1860,1982
Single Family Residential,5024 A St,Tacoma,WA,98408,479950,3,2,2486,1900
Single Family Residential,2908 162nd St E,Tacoma,WA,98445,559900,4,3,2573,2003
Single Family Residential,2437 E 72nd St,Tacoma,WA,98404,1450000,4,5,2999,1946
Condo/Co-op,7322 19th St W Unit 8A,Tacoma,WA,98466,235000,2,2,1068,1969
Single Family Residential,4309 S Tacoma Ave,Tacoma,WA,98418,399900,3,1,2612,1916
Condo/Co-op,3016 N Narrows Dr #301,Tacoma,WA,98407,1095000,3,2,1951,1982
Single Family Residential,111 115th St E,Tacoma,WA,98445,550000,4,2.5,1896,1951
Single Family Residential,5637 S K St,Tacoma,WA,98408,499950,3,2,1865,1916
Single Family Residential,2321 158th Street Ct E,Tacoma,WA,98445,549900,3,2,1487,2023
Single Family Residential,14609 24th Ave E,Tacoma,WA,98445,474999,3,2,1873,1999
Single Family Residential,5419 N 31st,Tacoma,WA,98407,600000,3,2,2380,1962
Townhouse,2206 N 8th St,Tacoma,WA,98403,649950,3,3.5,1691,2009
Single Family Residential,1419 S 45th St,Tacoma,WA,98418,396000,2,1,1064,1926
Single Family Residential,1611 E 62nd St,Tacoma,WA,98404,725000,4,2.5,2866,1937
Mobile/Manufactured Home,507 131st St E Unit W,Tacoma,WA,98445,75000,2,1,924,1983
Single Family Residential,6827 S Huson St,Tacoma,WA,98409,425000,2,1,906,1943
Single Family Residential,14923 25th Ave E,Tacoma,WA,98445,499000,3,2,1532,1970
Single Family Residential,1811 S 11th St,Tacoma,WA,98405,350000,2,1,987,1926
Condo/Co-op,3016 N Narrows St Unit C118,Tacoma,WA,98407,950000,3,2,1951,1982
Multi-Family (2-4 Unit),1808 115th Street Ct S,Tacoma,WA,98444,599950,4,2,1736,1968
Single Family Residential,3785 E R St,Tacoma,WA,98404,495000,3,2.5,2330,2006
Mobile/Manufactured Home,9803 12th Avenue Ct E #5,Tacoma,WA,98445,129500,3,2,1148,1986
Single Family Residential,14817 19th Avenue Ct E,Tacoma,WA,98445,439999,3,2.5,1418,1990
Single Family Residential,524 S 55th St,Tacoma,WA,98408,485000,3,2,1592,1906
Single Family Residential,16208 38th Ave E,Tacoma,WA,98446,635800,3,2,2052,1979
Single Family Residential,1939 S Ash St,Tacoma,WA,98405,384999,2,1,908,1904
Condo/Co-op,7322 N Skyview Pl Unit E101,Tacoma,WA,98406,309950,2,2,1008,1980
Single Family Residential,8859 S D St,Tacoma,WA,98444,475000,5,1.5,1705,1939
Single Family Residential,10632 20th Ave S,Tacoma,WA,98444,415000,3,2,1368,1950
Single Family Residential,421 Military Rd E,Tacoma,WA,98445,599950,3,3,1992,1979
Single Family Residential,5924 S Thompson Ave,Tacoma,WA,98408,390000,3,1.5,1098,1948
Single Family Residential,4905 McBride St,Tacoma,WA,98407,799000,4,2.5,3110,1972
Single Family Residential,2314 158th Street Ct E,Tacoma,WA,98445,619900,4,2.5,2378,2023
Single Family Residential,3613 -3615 S Gunnison St,Tacoma,WA,98409,484900,4,2,1560,1977
Single Family Residential,2404 158th Street Ct E,Tacoma,WA,98445,529900,3,2,1157,2023
Condo/Co-op,226 Broadway #22,Tacoma,WA,98402,360000,2,2,825,1988
Single Family Residential,5020 S Wapato,Tacoma,WA,98409,525000,4,2,1440,1965
Multi-Family (2-4 Unit),11124 40th Ave E,Tacoma,WA,98446,515000,3,2.5,1897,1966
Single Family Residential,1216 S 74th St,Tacoma,WA,98408,629000,3,2.5,2080,2002
Single Family Residential,1023 N Oakes,Tacoma,WA,98406,429950,3,1,1658,1923
Single Family Residential,1230 S Ridgewood Ave,Tacoma,WA,98405,389500,2,1,739,1943
Single Family Residential,3916 153rd St E,Tacoma,WA,98446,455000,4,2.5,1912,1997
Single Family Residential,2211 105th St E,Tacoma,WA,98445,449950,3,2,1358,1946
Single Family Residential,5029 S I St,Tacoma,WA,98408,274900,3,1,1195,1910
Single Family Residential,15104 2nd Ave E,Tacoma,WA,98445,459995,3,2,1672,1994
Single Family Residential,6013 41st Ave E,Tacoma,WA,98443,550000,3,2,1616,1974
Single Family Residential,3317 S 8th St,Tacoma,WA,98405,579950,4,2,2283,1909
Single Family Residential,10204 14th Avenue Ct E,Tacoma,WA,98445,534950,3,2.5,1804,1999
Single Family Residential,5629 S Birminingham,Tacoma,WA,98409,429000,3,1.5,1399,1900
Single Family Residential,6702 S C St,Tacoma,WA,98408,429000,3,1,1338,1912
Single Family Residential,607 63 Avenue Ct NE,Tacoma,WA,98422,1295000,5,4.5,6067,1994
Single Family Residential,5003 N Villiard St,Ruston,WA,98407,1375000,3,3,3001,2015
Condo/Co-op,909 N I St #301,Tacoma,WA,98403,525000,2,2,1496,1980
Single Family Residential,5018 N 30th St,Tacoma,WA,98407,450000,2,1,720,1949
Condo/Co-op,6018 N 15th St Unit E102,Tacoma,WA,98406,315000,3,1.5,1177,1977
Single Family Residential,3581 E I St,Tacoma,WA,98404,320000,2,1,918,1908
Single Family Residential,1215 N 10th St,Tacoma,WA,98403,464000,2,1,1535,1892
Single Family Residential,3204 S 9th St,Tacoma,WA,98405,600000,3,2,2040,1939
Single Family Residential,1623 S M St,Tacoma,WA,98405,495000,3,1.5,2222,1920
Multi-Family (2-4 Unit),1509 E 38th St,Tacoma,WA,98404,850000,8,4,3116,1980
Single Family Residential,6802 50th Ave E,Tacoma,WA,98443,429950,2,1,1062,1950
Multi-Family (2-4 Unit),4545 4547 S Junett St Unit 1-4,Tacoma,WA,98444,1050000,8,4,3696,2008
Single Family Residential,13911 Golden Given Rd E,Tacoma,WA,98445,415000,3,1,910,1961
Condo/Co-op,3012 N Narrows Dr #12,Tacoma,WA,98407,650000,2,2,1524,1996
Single Family Residential,3642 S Monroe St,Tacoma,WA,98409,299995,3,1.5,1008,1918
Townhouse,141 Spruce St,Fircrest,WA,98466,490000,3,2.5,1576,2006
Single Family Residential,2131 S L St,Tacoma,WA,98405,410000,4,1,2296,1909
Single Family Residential,2302 S Orchard St,Fircrest,WA,98466,439999,3,2,1046,1994
Single Family Residential,5505 N 35th St,Tacoma,WA,98407,859000,4,3.5,3063,2002
Single Family Residential,4814 S G St,Tacoma,WA,98408,430000,3,1,1152,1926
Single Family Residential,4102 53rd St NE,Tacoma,WA,98422,779500,5,3,2440,1994
Single Family Residential,2367 S State St,Tacoma,WA,98405,419950,3,2,1059,2010
Mobile/Manufactured Home,507 131st St E #30,Tacoma,WA,98445,69900,2,1,868,1979
Single Family Residential,6623 S Gove St,Tacoma,WA,98409,389900,3,1,1020,1943
Single Family Residential,1524 S 56th St,Tacoma,WA,98408,380000,3,2,2380,1927
Single Family Residential,12420 47th Ave E,Tacoma,WA,98446,1649000,4,3,3294,2009
Single Family Residential,7801 25th Ave E,Tacoma,WA,98404,1000000,3,2,2390,1960
Single Family Residential,17915 25th Ave E,Tacoma,WA,98445,529950,3,2.5,2213,2004
Condo/Co-op,4907 Main St #728,Tacoma,WA,98407,718000,2,2,1344,2022
Single Family Residential,1211 S 17th,Tacoma,WA,98405,425000,2,1,1685,1905
Single Family Residential,1324 E 35th St,Tacoma,WA,98404,325000,2,1,576,1929
Single Family Residential,3914 N 11th St,Tacoma,WA,98406,679000,4,2,2208,1946
Single Family Residential,1810 Browns Point Blvd,Tacoma,WA,98422,799000,4,2,2782,1988
Townhouse,3121 S 45th St,Tacoma,WA,98409,359000,2,2.5,1222,2008
Single Family Residential,2924 179th Street Ct E,Tacoma,WA,98445,599000,4,2.5,2290,2007
Single Family Residential,6237 S Prospect St,Tacoma,WA,98409,535000,3,2.5,1727,2022
Single Family Residential,3731 N Huson St,Tacoma,WA,98407,500000,3,1,1550,1967
Single Family Residential,3629 E L St,Tacoma,WA,98404,650000,5,3.5,2154,2023
Single Family Residential,5302 N Shirley St,Ruston,WA,98407,489500,3,1,1196,1913
Condo/Co-op,3201 Pacific Ave #601,Tacoma,WA,98418,429000,2,2,1319,2002
Multi-Family (2-4 Unit),3425 150th Street Ct E,Tacoma,WA,98446,850000,6,4,2012,1920
Single Family Residential,5414 A St,Tacoma,WA,98408,624999,3,3,3420,1954
Multi-Family (2-4 Unit),1610 E Wright Ave,Tacoma,WA,98404,485000,4,2,1456,1977
Single Family Residential,1318 N Proctor,Tacoma,WA,98406,699500,6,3,2810,1945
Single Family Residential,3003 S Proctor St,Tacoma,WA,98409,405000,2,1,1012,1925
Single Family Residential,2216 158th Street Ct E,Tacoma,WA,98445,622900,4,2.5,2378,2023
Single Family Residential,2301 158th Street Ct E,Tacoma,WA,98445,549900,3,2,1487,2023
Single Family Residential,1349 S Highland Dr,Tacoma,WA,98465,599950,7,2.5,2052,1971
Single Family Residential,1008 S Howard St,Tacoma,WA,98465,459000,2,1,744,1943
Single Family Residential,6214 15th St NE,Tacoma,WA,98422,1050000,4,3.5,4034,1994
Single Family Residential,5438 Yakima Ave,Tacoma,WA,98408,349900,4,2,1672,1921
Single Family Residential,9009 Yakima Ave,Tacoma,WA,98444,435000,3,2,1664,1954
Condo/Co-op,2511 S Cedar St #306,Tacoma,WA,98405,450000,2,2,1551,1981
Single Family Residential,2015 79th Street Ct E,Tacoma,WA,98404,346300,4,3,1902,2001
Multi-Family (2-4 Unit),645 S Mildred St,Tacoma,WA,98465,522000,3,2,1390,1935
Single Family Residential,7409 S Oakes St,Tacoma,WA,98409,370000,2,1,936,1910
Condo/Co-op,2501 S Cedar St #301,Tacoma,WA,98405,480000,2,2,1688,1981
Single Family Residential,3209 S 8th St,Tacoma,WA,98405,580000,5,3,2911,1910
Single Family Residential,1105 S 68th St,Tacoma,WA,98408,414500,3,1,2534,1955
Single Family Residential,6502 N 54th St,Tacoma,WA,98407,600000,2,2.5,1694,1994
Single Family Residential,3555 S Tyler St,Tacoma,WA,98409,555000,3,2,1640,2012
Single Family Residential,7702 6th Ave,Tacoma,WA,98406,1175000,3,2.5,2435,2023
Condo/Co-op,219 N Tacoma Ave #105,Tacoma,WA,98403,565000,2,2,1376,1915
Condo/Co-op,1501 Tacoma Ave S #515,Tacoma,WA,98402,349500,1,1,750,2006
Single Family Residential,1521 S 47th St,Tacoma,WA,98408,420000,3,2,1120,1900
Single Family Residential,4703 72nd St E,Tacoma,WA,98443,499950,2,2,2400,1950
Single Family Residential,1320 E Lennox Pl,Tacoma,WA,98404,324995,1,1,738,1911
Single Family Residential,1221 Huson Dr,Tacoma,WA,98405,659950,3,2.5,2170,1955
Mobile/Manufactured Home,3203 40th Avenue Ct E #10,Tacoma,WA,98443,75000,2,2,1526,1979
Single Family Residential,15319 40th Ave E,Tacoma,WA,98446,515000,3,3,2343,1997
Single Family Residential,618 N Warner St,Tacoma,WA,98406,550000,4,1.5,1471,1931
Single Family Residential,1414 E 65th St,Tacoma,WA,98404,529500,4,2,2397,1924
Single Family Residential,6907 McKinley Ave,Tacoma,WA,98404,499950,4,2,2077,1920
Mobile/Manufactured Home,1801 137th St E #113,Tacoma,WA,98445,235000,3,2,1512,2003
Single Family Residential,4801 Hyada Blvd NE,Tacoma,WA,98422,2495000,4,3.5,5593,1938
Single Family Residential,7011 S Puget Sound Ave,Tacoma,WA,98409,554000,4,3,2083,1924
Condo/Co-op,525 Broadway #303,Tacoma,WA,98402,550000,2,2,1341,1978
Single Family Residential,14523 20th Avenue Ct E,Tacoma,WA,98445,650000,5,3.5,2281,2012
Condo/Co-op,5105 Grand Loop #402,Tacoma,WA,98407,1595000,2,2.5,1784,2015
Single Family Residential,1020 S 23rd St,Tacoma,WA,98405,414900,3,2.5,1530,2003
Single Family Residential,3102 52nd Pl NE,Tacoma,WA,98422,695000,3,2.5,1915,2000
Single Family Residential,5438 S Birmingham St,Tacoma,WA,98409,499900,3,1.5,2313,1920
Single Family Residential,1009 S 60th St,Tacoma,WA,98408,339999,2,2,1233,1900
Condo/Co-op,5306 147th Street Ct E,Tacoma,WA,98446,360000,2,2.5,1410,2007
Single Family Residential,2957 37th Ave NE,Tacoma,WA,98422,585000,4,3,1903,1995
Townhouse,5002 S 30th St Unit G2,Tacoma,WA,98409,330000,2,1.5,1034,2004
Single Family Residential,10921 Golden Given Rd E,Tacoma,WA,98445,849950,6,2.5,4494,1962
Single Family Residential,5001 37th St NE,Tacoma,WA,98422,358000,3,1,1118,1980
Mobile/Manufactured Home,3124 40th Avenue Ct E #5,Tacoma,WA,98443,55000,2,2,1579,1978
Single Family Residential,6604 6th St E,Tacoma,WA,98424,949900,3,2.5,2546,2023
Single Family Residential,5509 Green Hills Ave NE,Tacoma,WA,98422,635000,3,2.5,1812,1981
Condo/Co-op,235 Broadway #300,Tacoma,WA,98402,349999,1,1,674,1961
Single Family Residential,14426 23rd Avenue Ct E,Tacoma,WA,98445,479500,3,2,1710,2010
Single Family Residential,613 153rd Street Ct E,Tacoma,WA,98445,574980,4,2.5,2143,2023
Single Family Residential,617 153rd Street Ct E,Tacoma,WA,98445,549980,3,2.5,1879,2023
Single Family Residential,4820 N 10th St,Tacoma,WA,98406,1049000,4,2.5,2822,2023
Single Family Residential,6025 Waller,Tacoma,WA,98443,635000,4,3,2824,1979
Condo/Co-op,7322 19th St W Unit 9A,Tacoma,WA,98466,239000,2,2,1068,1969
Condo/Co-op,418 N L St Unit 18-1,Tacoma,WA,98403,254950,1,1,561,1968
Single Family Residential,6506 21st St NE,Tacoma,WA,98422,499950,3,2,1328,1993
Townhouse,1903 N Oakes St Unit D,Tacoma,WA,98406,549900,3,2.5,1548,2023
Single Family Residential,2605 S 13th St,Tacoma,WA,98405,550000,3,1.5,2683,1910
Single Family Residential,3810 S Asotin St,Tacoma,WA,98418,369950,2,1,729,1942
Condo/Co-op,11330 3rd Avenue Ct E,Tacoma,WA,98445,399950,3,2,1137,1997
Single Family Residential,703 115th St E,Tacoma,WA,98445,415000,3,2.5,1526,2005
Condo/Co-op,210 Broadway Unit B,Tacoma,WA,98402,350000,2,2,998,1961
Condo/Co-op,7315 N Skyview Ln Unit L102,Tacoma,WA,98406,299900,2,2,1086,1981
Single Family Residential,5628 24th St NE,Tacoma,WA,98422,825000,4,3,3092,2017
Single Family Residential,705 N Yakima Ave,Tacoma,WA,98403,1625000,4,3,2943,1925
Single Family Residential,4034 N Frace,Tacoma,WA,98407,1180000,3,2.5,2350,2020
Single Family Residential,6324 Augusta Pl,Tacoma,WA,98406,550000,3,1.5,1440,1975
Single Family Residential,908 N Junett St,Tacoma,WA,98406,600000,4,2,2390,1922
Single Family Residential,4628 E Q St,Tacoma,WA,98404,465000,3,2.5,1548,2015
Single Family Residential,7841 S Asotin St,Tacoma,WA,98408,435000,3,2,1248,1967
Single Family Residential,2514 80th St E,Tacoma,WA,98404,770000,3,2,2276,1952
Single Family Residential,4418 N 32nd St,Tacoma,WA,98407,769000,4,3,2513,1915
Single Family Residential,1314 S Cushman Ave,Tacoma,WA,98405,480000,4,1.5,2518,1907
Single Family Residential,8613 11th Avenue Ct E,Tacoma,WA,98445,539000,4,2.5,1865,2014
Single Family Residential,2329 S L St,Tacoma,WA,98405,649950,4,3,2100,1928
Single Family Residential,1781 N Jackson Ave,Tacoma,WA,98406,989000,3,3,3005,1967
Single Family Residential,6616 Soundview Dr NE,Tacoma,WA,98422,895000,2,2,1374,1925
Single Family Residential,4052 S 34th,Tacoma,WA,98409,415000,3,1.5,1558,1955
Single Family Residential,4302 S Asotin St,Tacoma,WA,98418,499995,5,2,2674,1944
Single Family Residential,812 N Steele St,Tacoma,WA,98406,660000,4,3,2329,1910
Single Family Residential,1524 to 1524 B S Pine St,Tacoma,WA,98405,725000,5,3,1751,1998
Single Family Residential,1819 S L St,Tacoma,WA,98405,434950,4,2,1535,1900
Single Family Residential,427 E 62nd St,Tacoma,WA,98404,415000,4,1.5,1524,1923
Condo/Co-op,744 Market St Unit 101C,Tacoma,WA,98402,425000,0,1,1901,1931
Single Family Residential,1867 58th St NE,Tacoma,WA,98422,1499999,7,3.5,4624,1986
Single Family Residential,16915 32nd Ave E,Tacoma,WA,98446,999000,4,3.5,4913,1994
Single Family Residential,7704 6th Ave,Tacoma,WA,98406,1495000,3,2.5,3078,2023
Single Family Residential,1213 133rd St S,Tacoma,WA,98444,539000,4,2.5,2148,1986
Condo/Co-op,5003 Main St #209,Tacoma,WA,98407,1250000,3,2,1582,2014
Single Family Residential,1516 N Orchard St,Tacoma,WA,98406,635000,4,1.5,2056,1962
Single Family Residential,9038 SW Dash Point Rd,Federal Way,WA,98023,924995,5,3,3118,2024
Single Family Residential,1109 Violet Meadow St S,Tacoma,WA,98444,425000,3,1,950,1951
Single Family Residential,409 134th St S,Tacoma,WA,98444,409950,3,1,1232,1935
Single Family Residential,6101 Tacoma Ave S,Tacoma,WA,98408,539999,4,2.5,2187,1911
Single Family Residential,8447 S D St,Tacoma,WA,98444,379000,2,1,960,1958
Single Family Residential,6608 S Wapato St,Tacoma,WA,98409,459000,2,2.5,1311,1956
Condo/Co-op,4961 Main St #821,Tacoma,WA,98407,595000,2,2,978,2018
Townhouse,4013 S 66th St,Tacoma,WA,98409,410000,3,2.5,1297,2005
Multi-Family (2-4 Unit),2056 E 56th St,Tacoma,WA,98404,844900,8,4,3100,1986
Single Family Residential,5717 E M St,Tacoma,WA,98404,439990,4,2,1605,1979
Single Family Residential,820 S 45th St,Tacoma,WA,98418,350000,2,1.5,1248,1910
Single Family Residential,10419 113th Street Ct SW,Lakewood,WA,98498,629950,3,2.5,1822,2023
Single Family Residential,1829 164th St E,Tacoma,WA,98445,595000,5,3,2100,2000
Single Family Residential,6110 S Park Ave,Tacoma,WA,98408,384999,3,1,1664,1925
Single Family Residential,4127 Yakima Ave,Tacoma,WA,98418,375000,3,2,1799,1908
Multi-Family (2-4 Unit),1945 S I St #2,Tacoma,WA,98405,500000,4,2,1976,1925
Single Family Residential,7010 S Puget Sound Ave,Tacoma,WA,98409,360000,2,1,996,1920
Single Family Residential,505 S 96th St,Tacoma,WA,98444,375000,3,1,1129,1951
Single Family Residential,8633 S Thompson Ave,Tacoma,WA,98444,239950,1,1,736,1911
Single Family Residential,6115 S K St,Tacoma,WA,98408,425000,4,1,1277,1927
Single Family Residential,6312 NE Hawthorne Ter,Tacoma,WA,98422,869900,3,3,2083,2023
Single Family Residential,215 S 64th St,Tacoma,WA,98408,289000,2,1,1056,1939
Single Family Residential,2025 S 18th St,Tacoma,WA,98405,397000,3,1,1217,1958
Single Family Residential,1839 E Fairbanks St,Tacoma,WA,98404,409900,4,1,2000,1908
Mobile/Manufactured Home,3127 40th Ct E #9,Tacoma,WA,98443,85000,2,2,1560,1978
Single Family Residential,4409 S 49th St,Tacoma,WA,98409,489000,3,2,1358,1977
Single Family Residential,401 N J St,Tacoma,WA,98403,1295000,7,4.5,6378,1913
Single Family Residential,6306 N Hale St,Tacoma,WA,98407,995000,3,2.5,2750,2010
Condo/Co-op,1111 N K St #108,Tacoma,WA,98403,240000,1,1,516,1963
Single Family Residential,2421 Day Island Blvd W,University Place,WA,98466,1675000,2,2,1558,1910
Single Family Residential,1515 N 7th St,Tacoma,WA,98403,960000,4,3,3389,1892
Single Family Residential,710 132nd St S,Tacoma,WA,98444,449950,5,2,1973,1914
Single Family Residential,6112 S C St,Tacoma,WA,98408,499999,6,3,1984,1944
Single Family Residential,16406 45th Ave E,Tacoma,WA,98446,627000,4,2.5,2342,2016
Mobile/Manufactured Home,159 136 St S Unit 5A,Tacoma,WA,98444,65500,2,1,740,1981
Single Family Residential,9821 Asotin St S,Tacoma,WA,98444,309950,2,2.5,1835,1990
Condo/Co-op,708 Market St #413,Tacoma,WA,98402,685000,3,2.5,1600,2007
Single Family Residential,4018 N Baltimore St,Tacoma,WA,98407,874995,6,3.5,5789,1910
Condo/Co-op,440 St Helens Ave #310,Tacoma,WA,98402,299000,1,1,829,1969
Single Family Residential,304 123rd St S,Tacoma,WA,98444,410000,4,2,1622,1953
Single Family Residential,1050 S 86th St,Tacoma,WA,98444,425000,3,2,1235,2011
Single Family Residential,5016 152nd St E,Tacoma,WA,98446,812000,3,2,2034,2001
Single Family Residential,8413 S Ainsworth Ave,Tacoma,WA,98444,359995,3,1,1040,1959
Townhouse,10806 Park Ave S,Tacoma,WA,98444,350000,3,2.5,1408,2007
Single Family Residential,5731 N 48TH St,Tacoma,WA,98407,849500,3,3,1950,2023
Single Family Residential,4817 4819 Tok A Lou Ave NE,Tacoma,WA,98422,1075000,3,3,2294,1953
Single Family Residential,1209 S Madison St,Tacoma,WA,96405,499000,3,2,1837,1946
Single Family Residential,6419 S Lawrence St,Tacoma,WA,98409,449000,4,2,2249,1924
Single Family Residential,8625 S Sheridan Ave,Tacoma,WA,98444,559950,4,2.5,1865,2023
Single Family Residential,824 N Sheridan Ave,Tacoma,WA,98403,630000,3,2,1634,1904
Single Family Residential,3134 43rd Ave NE,Tacoma,WA,98422,749999,4,2.5,2746,2002
Single Family Residential,1401 158th St E,Tacoma,WA,98445,509950,3,2,1528,1976
Single Family Residential,7018 S Park Ave,Tacoma,WA,98408,449999,4,3,2976,1927
Single Family Residential,1702 N Juniper St,Tacoma,WA,98406,1499000,5,3.5,4376,1980
Multi-Family (2-4 Unit),4779 N 37th St,Milwaukee,WI,53209,145000,6,2,1699,1912
Single Family Residential,6326 W Chambers St,Milwaukee,WI,53210,236400,4,2.5,1884,1928
Multi-Family (2-4 Unit),6221 W Keefe Avenue Pkwy,Milwaukee,WI,53216,175000,4,2,1827,1954
Single Family Residential,5958 N 39th St,Milwaukee,WI,53209,179900,3,2,1658,1937
Single Family Residential,4331 N 53rd St,Milwaukee,WI,53216,163000,3,1,1629,1947
Single Family Residential,4380 S Adams Ave,Milwaukee,WI,53207,199900,3,1.5,1129,1950
Single Family Residential,7637 W Hadley St,Milwaukee,WI,53222,259900,3,1.5,1350,1926
Multi-Family (2-4 Unit),3201 W National Ave #3203,Milwaukee,WI,53215,200000,6,2,2728,1903
Condo/Co-op,4965 W Maple Leaf Cir,Milwaukee,WI,53220,260000,2,2,1238,2000
Single Family Residential,4916 N 57th St,Milwaukee,WI,53218,209900,3,2,1919,1947
Single Family Residential,2559 N Holton St,Milwaukee,WI,53212,149900,3,1,1101,1890
Condo/Co-op,2080 N Commerce St #418,Milwaukee,WI,53212,220000,2,2,1004,2007
Single Family Residential,2344 N 60th St,Milwaukee,WI,53210,359000,4,3,2754,1927
Single Family Residential,8083 N 50th St,Brown Deer,WI,53223,245000,3,1.5,2496,1962
Single Family Residential,3622 N 38th St,Milwaukee,WI,53216,129900,3,1,2000,1948
Single Family Residential,6001 N 35th St,Milwaukee,WI,53209,134900,2,1,1132,1953
Single Family Residential,228 N 71st St,Milwaukee,WI,53213,164900,2,1,874,1920
Single Family Residential,7025 W Beckett Ave,Milwaukee,WI,53216,229900,3,1.5,1798,1953
Single Family Residential,3525 N 38th St,Milwaukee,WI,53216,85900,3,1,1301,1929
Single Family Residential,4353 N 63rd St,Milwaukee,WI,53216,81900,2,1,846,1941
Single Family Residential,2409 W Greenfield Ave,Milwaukee,WI,53204,189000,2,3,2644,1899
Single Family Residential,4042 N 90th St,Milwaukee,WI,53222,230000,3,1.5,1400,1958
Single Family Residential,3365 N 53rd St,Milwaukee,WI,53216,269900,5,3,2112,1937
Single Family Residential,423 E Van Beck Ave,Milwaukee,WI,53207,230000,2,1,1352,1925
Multi-Family (2-4 Unit),5058 N 39th St,Milwaukee,WI,53209,99900,3,2,1884,1926
